255,7902,1315697,3678068,973663,1318357,3654131,1093639,8461,1410019,2326982,1164912,1410538,2189629,1170849
254,8501,1414424,3664688,987429,1419356,3647767,1092218,8363,1398153,2284739,1175190,1389827,2199866,1197205
253,7992,1333355,3681685,964789,1330647,3662349,1094132,8174,1361633,2304941,1207255,1363110,2233940,1214852
252,7905,1315601,3685808,971241,1319704,3660564,1088247,8550,1418341,2261861,1203730,1431693,2189670,1165871
251,8383,1390980,3671504,927176,1403459,3646133,1071296,8420,1404367,2291487,1176618,1402610,2221822,1190396
250,8040,1344762,3671917,953441,1335314,3672027,1088977,8322,1386064,2339901,1209135,1388056,2209077,1222832
249,9149,1526377,3676829,958611,1523526,3637748,1088083,8462,1405291,2318917,1166355,1415531,2209327,1206396
248,8056,1342529,3670524,936396,1342944,3653102,1085123,8098,1345074,2301265,1190995,1354434,2265892,1180916
247,7928,1320661,3687296,970438,1322324,3678535,1086500,8385,1403164,2351216,1174737,1392166,2291891,1183620
246,8614,1432296,3675947,973340,1439066,3646618,1089170,8457,1409107,2308712,1188550,1409909,2270632,1200017
245,8199,1365056,3696184,974857,1368233,3662860,1101216,8196,1361930,2275687,1183418,1370124,2196703,1207832
244,7886,1313142,3683529,945685,1315541,3677020,1103368,8122,1354965,2297235,1196175,1352448,2221533,1203499
243,8592,1421563,3660471,984096,1442575,3655318,1099485,8404,1402252,2282402,1215402,1399374,2243037,1220906
242,8147,1360437,3669786,971114,1355309,3652921,1094268,8049,1343755,2247243,1204890,1339487,2218321,1199465
241,7862,1312280,3691597,969686,1308512,3682526,1097533,8035,1340459,2232942,1201896,1337943,2194000,1175519
240,8472,1406777,3659581,982854,1417258,3644044,1093236,8254,1376211,2322342,1190660,1375438,2252454,1200495
239,8052,1341834,3680981,970241,1342204,3645155,1097708,8065,1345818,2285255,1195034,1342821,2273879,1179276
238,8783,1607120,3686662,991227,1320637,3669703,1097942,8835,1475049,2260576,1199189,1470226,2187899,1172477
237,8149,1361623,3637736,933437,1354820,3620531,1076505,8006,1340869,2321626,1195712,1328114,2269473,1174807
236,7949,1327835,3682354,963027,1321982,3644011,1093391,8420,1404226,2225086,1195114,1402653,2181932,1190990
235,8573,1425336,3669366,972854,1432442,3654073,1097874,8511,1420335,2297951,1200469,1416671,2190222,1205733
234,8166,1358730,3649491,941901,1363562,3599428,1094323,8149,1361837,2312284,1183907,1354776,2260949,1195558
233,7847,1307713,3656143,980000,1309806,3632367,1094230,8027,1339133,2211253,1194980,1336705,2151885,1197593
232,8410,1401427,3659025,958136,1402062,3658232,1092977,8210,1368063,2328456,1205052,1368931,2296263,1198164
231,7943,1320590,3636868,955357,1327271,3614077,1103933,8258,1374297,2298547,1173449,1378672,2223347,1200378
230,9220,1528118,3688936,965430,1545237,3682139,1094127,8495,1415558,2280080,1179521,1416226,2217405,1178421
229,8114,1352302,3670313,950612,1352588,3634756,1089748,8060,1344758,2292333,1191813,1341930,2217773,1194131
228,7973,1323814,3655661,985649,1334171,3623122,1095485,8273,1378852,2248623,1179959,1378887,2169277,1192551
227,8898,1476455,3688039,991712,1489871,3656090,1094781,8437,1406033,2287809,1204263,1406590,2246588,1195468
226,8115,1351128,3690140,974767,1354020,3673083,1090087,8271,1377832,2387155,1191168,1379423,2313510,1197239
225,8030,1334423,3688885,969940,1342520,3673123,1100531,8450,1403886,2274130,1207287,1412861,2185292,1203519
224,9283,1537233,3738277,989303,1557317,3704047,1105242,8431,1409232,2222795,1200764,1401106,2165674,1198444
223,8320,1389109,3740158,1003556,1384261,3725256,1101247,8371,1393485,2208621,1219273,1397176,2171795,1212186
222,8275,1382771,3743757,997545,1375780,3716569,1116872,8166,1355059,2280834,1188048,1367119,2231763,1199164
221,8074,1346345,3768742,1003648,1345224,3760114,1108107,8754,1455195,2318204,1216604,1463000,2231127,1166654
220,9406,1557352,3776992,1001637,1578086,3766344,1122167,8255,1376235,2266948,1194554,1375728,2215618,1200519
219,8751,1458809,3796447,1007791,1458256,3756412,1122843,8555,1425643,2339298,1206218,1426174,2202835,1201178
218,8385,1391000,3816774,1019610,1404129,3794502,1128363,8284,1380776,2367592,1184548,1380832,2288176,1194266
217,8511,1419411,3822291,1027753,1417908,3798285,1135584,8924,1483888,2267785,1209509,1490897,2276764,1200047
216,8390,1397663,3819425,1040380,1399109,3800185,1130416,8721,1456233,2384054,1199975,1450918,2364328,1201452
215,8400,1393742,3898919,1039244,1406464,3891920,1149850,8451,1409177,2393051,1257423,1408060,2321606,1224051
214,8357,1391181,3919019,1052472,1394717,3915683,1159125,8638,1438710,2342461,1259140,1440940,2290846,1230988
213,8437,1408544,3932763,1046553,1403869,3901677,1147258,8720,1453975,2278484,1245937,1452873,2243731,1264807
212,8506,1419454,3986186,1063832,1416056,3942648,1154305,8640,1441789,2380173,1250541,1438315,2325277,1243749
211,8687,1451627,4001652,1062704,1444106,3987358,1183346,8652,1438516,2398228,1233371,1445755,2348804,1247654
